model,split,roc_auc,pr_auc,f1,precision,recall,accuracy
random_forest_depth12,validation,0.5915360749898952,0.5581342266046514,0.5454103765399966,0.5390683954174385,0.5519033572130917,0.5633666666666667
logistic_regression_features,validation,0.5875079019476377,0.5557065926595692,0.549950408700708,0.5359642690487301,0.5646860514117151,0.5613666666666667
logistic_regression_baseline,validation,0.5865872326984131,0.5550276114706769,0.5498868545566756,0.5371784565916399,0.5632111251580278,0.5624
decision_tree_depth6,validation,0.574737740090476,0.5374988543354989,0.5683077510986562,0.5198671638312747,0.6267031886500913,0.5481333333333334
dummy_most_frequent,validation,0.5,0.4746,0.0,0.0,0.0,0.5254
random_forest_depth12,test,0.5888012930578055,0.5597457156758131,0.5418903473833685,0.5345404851383669,0.5494451467902796,0.5591
